Flow idx, Flow, jumps_raw min, jumps_raw 25, jumps_raw 50, jumps_raw 75, jumps_raw max, jumps_raw std, jumps min, jumps 25, jumps 50, jumps 75, jumps max, jumps std
      64,   O0,    -164,         -1.00,          8.00,         19.00,     931,         43.88,    -170,         -3.00,          6.00,         17.00,     933,         43.53
      65,   C0,   -1000,        -69.00,        -30.00,        -17.00,     160,         68.12,    -975,        -51.00,        -12.00,          0.00,     159,         67.81
      66,   O0,    -206,          2.00,         15.00,         55.00,     995,         69.31,    -199,          2.00,         15.00,         55.00,     995,         69.12
      67,   A0,    -955,        -35.00,        -23.00,        -14.00,     247,         46.53,    -934,        -16.00,         -5.00,          3.00,     257,         46.19
      68,   O0,    -883,          5.00,         14.00,         26.00,     977,         48.88,    -889,         -2.00,          7.00,         19.00,     970,         48.69
      69,   T0,    -995,       -166.00,        -80.00,        -42.00,     600,         95.38,    -968,       -135.00,        -49.00,        -12.00,     612,         95.00
      70,   O0,    -225,         26.00,         65.00,        157.00,     998,         97.56,    -237,         14.00,         53.00,        145.00,     985,         97.31
      71,   C0,    -888,        -44.00,        -23.00,        -12.00,     402,         55.12,    -872,        -27.00,         -5.00,          5.00,     412,         54.91
      72,   O0,    -195,          4.00,         14.00,         38.00,     967,         59.78,    -195,          0.00,         10.00,         33.00,     964,         59.62
      73,   A0,    -892,        -51.00,        -32.00,        -21.00,     145,         57.28,    -870,        -28.00,         -9.00,          1.00,     170,         57.00
      74,   O0,    -211,          9.00,         19.00,         40.00,     887,         59.12,    -217,          1.00,         11.00,         31.00,     880,         58.97
      75,   B0,    -680,        -16.00,         -9.00,         -2.00,     220,         11.72,    -667,         -5.00,          1.00,          8.00,     229,         11.09
      76,   O0,    -363,         -7.00,          0.00,          7.00,     215,         10.90,    -362,         -5.00,          2.00,          8.00,     218,         10.16
      77,   T0,    -984,        -47.00,        -32.00,        -22.00,     188,         54.72,    -958,        -23.00,         -8.00,          1.00,     206,         54.28
      78,   O0,    -134,         12.00,         22.00,         38.00,    1000,         59.56,    -144,          0.00,          9.00,         25.00,     996,         59.31
      79,   C0,    -946,        -31.00,        -18.00,        -10.00,     249,         45.03,    -936,        -17.00,         -5.00,          3.00,     264,         44.78
      80,   O0,    -230,         -2.00,          7.00,         19.00,     954,         49.72,    -237,         -2.00,          6.00,         18.00,     954,         49.53
      81,   T0,    -898,        -28.00,        -19.00,        -11.00,     300,         28.97,    -886,         -9.00,         -2.00,          5.00,     313,         28.34
      82,   O0,    -293,          1.00,          9.00,         17.00,     897,         31.66,    -291,         -5.00,          2.00,         10.00,     899,         31.27
      83,   G0,    -938,       -144.00,        -76.00,        -38.00,     248,         78.06,    -917,       -121.00,        -53.00,        -16.00,     260,         77.75
      84,   O0,    -661,         23.00,         62.00,        133.00,     943,         78.69,    -668,         16.00,         55.00,        126.00,     932,         78.56
      85,   A0,    -867,        -60.00,        -30.00,        -17.00,     561,         64.81,    -845,        -40.00,         -9.00,          3.00,     577,         64.62
      86,   O0,    -545,          8.00,         21.00,         55.00,     929,         68.31,    -546,          2.00,         14.00,         48.00,     924,         68.12
      87,   C0,    -941,        -81.00,        -30.00,        -14.00,     200,         66.81,    -923,        -68.00,        -16.00,         -1.00,     208,         66.56
      88,   O0,    -313,         10.00,         27.00,         87.00,     984,         74.69,    -322,          5.00,         22.00,         82.00,     967,         74.56
      89,   G0,    -837,        -46.00,        -27.00,        -16.00,     723,         49.91,    -823,        -28.00,         -9.00,          1.00,     733,         49.62
      90,   O0,    -236,          6.00,         17.00,         38.00,     969,         52.41,    -245,          0.00,         10.00,         31.00,     965,         52.22
      91,   C0,    -923,        -22.00,        -13.00,         -5.00,     284,         34.38,    -913,        -12.00,         -3.00,          5.00,     285,         34.06
      92,   O0,    -210,         -1.00,          7.00,         18.00,     902,         39.00,    -217,         -1.00,          7.00,         16.00,     902,         38.78
      93,   A0,    -911,        -51.00,        -31.00,        -20.00,     143,         56.09,    -892,        -30.00,        -10.00,          0.00,     165,         55.84
      94,   O0,    -310,          6.00,         16.00,         37.00,     877,         57.16,    -315,          0.00,         10.00,         31.00,     871,         56.97
      95,   G0,    -798,        -28.00,        -18.00,         -9.00,     169,         36.81,    -783,        -12.00,         -2.00,          5.00,     168,         36.50
      96,   O0,    -679,          0.00,          9.00,         19.00,     801,         38.75,    -678,         -3.00,          5.00,         15.00,     795,         38.47
      97,   T0,    -966,       -167.00,        -86.00,        -45.00,     668,         91.38,    -935,       -138.00,        -57.00,        -16.00,     687,         91.00
      98,   O0,    -622,         36.00,         80.00,        171.00,     975,         97.69,    -634,         18.00,         62.00,        153.00,     964,         97.50
      99,   A0,    -847,        -42.00,        -23.00,        -12.00,     605,         56.72,    -826,        -24.00,         -6.00,          4.00,     614,         56.47
     100,   O0,    -586,         11.00,         22.00,         41.00,     848,         58.50,    -590,          0.00,         10.00,         30.00,     831,         58.34
     101,   C0,    -951,        -87.00,        -35.00,        -18.00,     195,         67.25,    -934,        -71.00,        -18.00,         -2.00,     214,         67.06
     102,   O0,    -130,         11.00,         28.00,         86.00,     955,         72.25,    -138,          5.00,         22.00,         79.00,     948,         72.06
     103,   G0,    -769,        -92.00,        -42.00,        -24.00,     178,         64.31,    -752,        -73.00,        -22.00,         -4.00,     192,         64.06
     104,   O0,    -138,         13.00,         31.00,         84.00,     889,         65.38,    -143,          6.00,         24.00,         77.00,     882,         65.19
     105,   T0,    -979,        -85.00,        -43.00,        -28.00,     305,         70.12,    -951,        -59.00,        -16.00,         -2.00,     323,         69.81
     106,   O0,    -302,         21.00,         38.00,         84.00,     948,         75.44,    -310,          6.00,         22.00,         68.00,     934,         75.25
     107,   G0,    -817,        -29.00,        -17.00,         -8.00,     483,         37.53,    -802,        -16.00,         -5.00,          4.00,     501,         37.19
     108,   O0,    -224,          2.00,         11.00,         23.00,     801,         38.66,    -228,         -1.00,          8.00,         19.00,     793,         38.38
     109,   C0,    -918,        -75.00,        -34.00,        -20.00,     210,         60.25,    -902,        -56.00,        -16.00,         -2.00,     230,         60.03
